timestamp,city,state,lat,lon,aqi,pm25,pm10,co,no2,so2,o3,temperature,humidity,wind_speed
2026-07-20 14:41:03,Aizawl,Mizoram,23.7271,92.7176,17,13,17,0.6,0.5,5.8,2.3,18.49,99,0.56
2026-07-20 14:41:03,Kohima,Nagaland,25.6751,94.1086,46,46,6,4.6,3.2,3.1,15.5,17.35,98,1.86
2026-07-20 14:41:03,Gangtok,Sikkim,27.3389,88.6065,69,69,48,0.7,2.5,0.4,4.3,20.98,98,0.41
2026-07-20 14:41:03,Agartala,Tripura,23.8315,91.2868,114,114,68,3.5,6.3,2.9,5.8,24.58,95,2.06
2026-07-20 14:41:03,Dehradun,Uttarakhand,30.3165,78.0322,97,97,65,4.6,14,3.5,1.7,23.85,96,1.4
2026-07-20 14:41:03,Port Blair,Andaman and Nicobar Islands,11.6234,92.7265,34,34,,,2.9,1.1,,28.29,78,6.68
2026-07-20 14:41:03,Daman,Dadra and Nagar Haveli and Daman and Diu,20.3974,72.8328,72,72,68,5.7,8.7,2.1,4.3,27.09,86,8.3
2026-07-20 14:41:03,Srinagar,Jammu and Kashmir,34.0837,74.7973,117,117,76,4.6,5.1,3.6,51.9,24.47,76,1.23
2026-07-20 14:41:03,Leh,Ladakh,34.1526,77.5771,60,42,24,1,0.5,3.1,60.4,24.27,23,1.69
2026-07-20 14:41:03,Kavaratti,Lakshadweep,10.5669,72.642,72,72,68,5.7,8.7,2.1,4.3,28.5,77,6.48
2026-07-20 14:41:03,Puducherry,Puducherry,11.9416,79.8083,44,44,30,3.4,4.6,3.9,17.7,30.18,68,1.62
2026-07-20 16:38:04,Delhi,Delhi,28.6139,77.209,71,64,71,28.7,19.5,8.8,1.2,29.42,70,2.64
2026-07-20 16:38:04,Mumbai,Maharashtra,19.076,72.8777,109,109,50,7.3,7.3,3.2,4.1,27.87,80,9.53
2026-07-20 16:38:04,Bangalore,Karnataka,12.9716,77.5946,66,66,50,4.8,8.6,3.1,4,23.61,75,0.89
2026-07-20 16:38:04,Kolkata,West Bengal,22.5726,88.3639,172,172,,,,,,27.81,85,3.74
2026-07-20 16:38:04,Chennai,Tamil Nadu,13.0827,80.2707,46,46,,,,,,27.29,88,1.34
2026-07-20 16:38:04,Hyderabad,Telangana,17.385,78.4867,93,93,,,,,,25.51,76,6.53
2026-07-20 16:38:04,Pune,Maharashtra,18.5204,73.8567,109,109,50,7.3,7.3,3.2,4.1,24.63,80,3.76
2026-07-20 16:38:04,Lucknow,Uttar Pradesh,26.8467,80.9462,128,128,91,10.8,3,3.4,28.4,28.26,79,2.06
2026-07-20 16:38:04,Patna,Bihar,25.5941,85.1376,21,107,,1,0.5,0.6,20.9,28.47,81,5.37
2026-07-20 16:38:04,Ahmedabad,Gujarat,23.0225,72.5714,109,109,50,7.3,7.3,3.2,4.1,31.13,60,2.53
